Time [s],Channel 0
0.000000000,1
2.398406750,0
2.563091250,1
3.417563750,0
3.583399750,1
4.469503250,0
4.569977000,1
4.676143500,0
4.784291250,1
5.433608750,0
5.794705000,1
6.277647250,0
6.660602750,1
7.251374500,0
7.764232250,1
8.333748750,0
8.870728000,1
9.725023250,0
9.832196000,1
10.810682750,0
10.934817750,1
12.050189750,0
12.175224500,1
14.684160000,1
